id,name,latitude,longitude,service_time
0,Kho trung tâm,10.762622,106.660172,0
1,Khách hàng A,10.776203,106.648172,8
2,Khách hàng B,10.761061,106.676857,6
3,Khách hàng C,10.745727,106.654714,9
4,Khách hàng D,10.760544,106.685663,10
5,Khách hàng E,10.783587,106.664236,11
6,Khách hàng F,10.746684,106.664777,4
7,Khách hàng G,10.764593,106.64336,13
8,Khách hàng H,10.768575,106.694698,10
9,Khách hàng I,10.730997,106.653075,9
10,Khách hàng AB,10.765873,106.6685,4
11,Khách hàng A,10.781753,106.66108,7
12,Khách hàng B,10.760053,106.679761,6
13,Khách hàng C,10.754024,106.663098,9
14,Khách hàng D,10.761499,106.675822,8
15,Khách hàng E,10.782146,106.668633,9
16,Khách hàng F,10.743717,106.657076,9
17,Khách hàng G,10.764804,106.640551,12
18,Khách hàng H,10.78178,106.689336,11
19,Khách hàng I,10.72822,106.654406,8
